2026-03-04T10:49:22Z [INFO] cryptotaxcalc.app: GET /static/img/icons/data_quality_icon_black.png -> 200 in 0.002s
2026-03-04T10:49:22Z [INFO] cryptotaxcalc.app: GET /static/media/background_dark_gpu.webm -> 304 in 0.001s
2026-03-04T10:49:22Z [INFO] cryptotaxcalc.app: GET /static/media/background_light_gpu.webm -> 304 in 0.001s
2026-03-04T10:49:35Z [INFO] cryptotaxcalc.app: POST /csv/detect/multiple -> 200 in 0.044s
2026-03-04T10:49:36Z [INFO] cryptotaxcalc.app: POST /data_quality/precheck -> 200 in 0.444s
2026-03-04T10:49:40Z [INFO] cryptotaxcalc.app: POST /import/multiple -> 200 in 1.594s
2026-03-04T10:49:40Z [INFO] cryptotaxcalc.app: GET /wallet/transfers/grouped -> 200 in 0.003s
2026-03-04T10:49:53Z [INFO] cryptotaxcalc.app: POST /calculate/v2 -> 200 in 12.331s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /workspace/results -> 200 in 0.049s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/theme.css -> 304 in 0.002s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/dashboard_override.css -> 304 in 0.001s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/dark_theme.png -> 404 in 0.002s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/light_theme.png -> 404 in 0.004s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/img/icons/workspace_icon_white.png -> 304 in 0.007s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/img/icons/recent_runs_icon_white.png -> 304 in 0.005s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/img/icons/workspace_icon_black.png -> 304 in 0.007s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/glow.js -> 304 in 0.01s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/theme.js -> 304 in 0.011s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/img/icons/recent_runs_icon_black.png -> 304 in 0.01s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/img/icons/settings_icon_white.png -> 304 in 0.006s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/img/icons/settings_icon_black.png -> 304 in 0.009s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/img/icons/help_icon_white.png -> 304 in 0.006s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/img/icons/help_icon_black.png -> 304 in 0.002s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/media/background_dark_gpu.webm -> 304 in 0.004s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /static/media/background_light_gpu.webm -> 304 in 0.004s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/tax -> 200 in 0.015s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /jurisdiction/status -> 200 in 0.001s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /country_notes -> 200 in 0.003s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /export/workspace_summary/2.pdf -> 409 in 0.013s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /calc/run/2/filters_meta -> 200 in 0.023s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2 -> 200 in 0.034s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /calc/run/2/summary_filtered -> 200 in 0.017s
2026-03-04T10:50:00Z [INFO] cryptotaxcalc.app: GET /export/workspace_summary/2/subset.pdf -> 409 in 0.007s
2026-03-04T10:50:02Z [INFO] cryptotaxcalc.app: GET /calc/run/2/summary_filtered -> 200 in 0.335s
2026-03-04T10:50:02Z [INFO] cryptotaxcalc.app: GET /export/workspace_summary/2/subset.pdf -> 409 in 0.098s
2026-03-04T10:50:26Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.015s
2026-03-04T10:50:30Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.014s
2026-03-04T10:50:30Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.015s
2026-03-04T10:50:30Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.015s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.015s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.016s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.016s
2026-03-04T10:50:31Z [INFO] cryptotaxcalc.app: GET /api/v1/runs/2/events -> 200 in 0.017s
